food_name,serving,calories,protein_g,fat_g,carbs_g,meal_tags,diet_tags
Cá viên kho,10 viên nhỏ,100,15,10,5,lunch|dinner|afternoon,low_calorie|moderate_protein|low_carb
Cá trê chiên,1 con,219,20,15,5,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Cá ngừ kho,1 lát cá,122,20,10,5,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Cá lóc kho,1 lát cá,131,20,10,5,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Cá lóc chiên,1 lát,169,20,15,5,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Cá hú kho,1 lát cá,184,20,10,5,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Cá đối kho,1 con,82,20,10,5,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Cá đối chiên,1 con,108,20,15,5,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Cá chim chiên,1 con,111,20,15,5,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Cá chép chưng tương,1 con,156,20,10,5,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Cá bạc má kho,1 con,167,20,10,5,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Cá bạc má chiên,1 con,135,20,15,5,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Bò cuốn mỡ chài,8 cuốn,1180,20,20,5,lunch|dinner,high_calorie|high_protein|high_fat|low_carb
Bò cuốn lá lốt,8 cuốn,841,20,15,5,lunch|dinner,high_calorie|high_protein|low_carb
Bò bía,3 cuốn,93,10,5,10,lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Bầu xào trứng,1 đĩa,109,10,8,5,breakfast|afternoon,low_calorie|low_fat|low_carb
Cơm trắng,1 chén vừa,200,2.6,0.3,28,lunch|dinner|afternoon,low_calorie|low_fat
Bún gạo lứt khô,100g,340,7,1,74,lunch|dinner,moderate_calorie|low_fat|high_carb
Phở gạo lứt khô,100g,340,7,1,74,breakfast|lunch|dinner,moderate_calorie|low_fat|high_carb
Hủ tiếu gạo lứt khô,100g,340,7,1,74,breakfast|lunch|dinner,moderate_calorie|low_fat|high_carb
Thịt cua nạc,100g,120,19,2,0,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Thịt cua gạch,100g,150,18,4,0,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Tôm sú,100g,130,20,1.5,0,lunch|dinner|afternoon,low_calorie|high_protein|low_fat|low_carb
Tôm Hùm,100g,145,19,2,0,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Tôm rang thịt,100g,180,20,10,5,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Tôm rim,100g,175,20,8,5,lunch|dinner|afternoon,low_calorie|high_protein|low_fat|low_carb
Tôm rang me chua ngọt,100g,180,20,12,10,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Gà nướng,100g,230,25,15,0,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Bún tươi,100g,110,2.4,0.3,27,lunch|dinner|afternoon,low_calorie|low_fat
Bún gạo,100g,440,2.4,0.3,27,lunch|dinner,moderate_calorie|low_fat
Bánh mì nâu đen,100g,315,8,2,50,breakfast|lunch|dinner,moderate_calorie|low_fat
Vịt luộc - hấp,100g,337,16,9,0,lunch|dinner,moderate_calorie|moderate_protein|low_carb
Bánh ngô chiên,1 cái,442,5,12,30,lunch|dinner,moderate_calorie
Cá khô chiên,100g,325,20,15,0,lunch|dinner,moderate_calorie|high_protein|low_carb
Cá chỉ vàng,100g,290,17,2.5,0,lunch|dinner|afternoon,moderate_calorie|moderate_protein|low_fat|low_carb
Cá sặc khô,100g,301,18,3,0,lunch|dinner,moderate_calorie|moderate_protein|low_fat|low_carb
Cá lóc khô,100g,280,19,2.8,0,lunch|dinner|afternoon,moderate_calorie|moderate_protein|low_fat|low_carb
Chả bò - giò bò,100g,195,12,15,2,lunch|dinner|afternoon,low_calorie|moderate_protein|low_carb
Bò viên,100g,250,14,10,2,lunch|dinner|afternoon,low_calorie|moderate_protein|low_carb
Cá viên chiên,100g,160,14,12,2,lunch|dinner|afternoon,low_calorie|moderate_protein|low_carb
Bánh ú,1 Cái,285,6,5,40,afternoon,moderate_calorie|low_fat
Thịt chó,100g,348,20,20,0,lunch|dinner,moderate_calorie|high_protein|high_fat|low_carb
Thịt chó rượu mận,100g,485,20,22,5,lunch|dinner,moderate_calorie|high_protein|high_fat|low_carb
Thịt bò,100g,250,26,15,0,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Thịt gà,100g,165,31,3.6,0,lunch|dinner|afternoon,low_calorie|high_protein|low_fat|low_carb
Thịt heo,100g,242,27,14,0,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Thịt vịt,100g,337,19,28,0,lunch|dinner,moderate_calorie|moderate_protein|high_fat|low_carb
Thịt cừu,100g,294,25,21,0,lunch|dinner|afternoon,moderate_calorie|high_protein|high_fat|low_carb
Thịt dê,100g,143,27.1,03.03,0,lunch|dinner|afternoon,low_calorie|high_protein|low_fat|low_carb
Thịt lợn quay,100g,290,21,23,0,lunch|dinner|afternoon,moderate_calorie|high_protein|high_fat|low_carb
Thịt thỏ,100g,173,24,8,0,lunch|dinner|afternoon,low_calorie|high_protein|low_fat|low_carb
Thịt gà tây,100g,135,30,3.5,0,lunch|dinner|afternoon,low_calorie|high_protein|low_fat|low_carb
Thịt ngỗng,100g,305,19,28,0,lunch|dinner,moderate_calorie|moderate_protein|high_fat|low_carb
Thịt cá hồi,100g,206,22,13,0,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Thịt cá ngừ,100g,132,28,0.5,0,lunch|dinner|afternoon,low_calorie|high_protein|low_fat|low_carb
Thịt cá thu,100g,205,19,13.9,0,lunch|dinner|afternoon,low_calorie|moderate_protein|low_carb
Thịt lươn,100g,184,19,11,0,lunch|dinner|afternoon,low_calorie|moderate_protein|low_carb
Thịt cá rô phi,100g,129,26,2.7,0,lunch|dinner|afternoon,low_calorie|high_protein|low_fat|low_carb
Thịt cá trê,100g,95,16,2.9,0,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Thịt cá chép,100g,127,17,5.6,0,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Thịt cá basa,100g,93,15,3.2,0,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Thịt tôm,100g,99,24,0.3,0.2,lunch|dinner|afternoon,low_calorie|high_protein|low_fat|low_carb
Thịt cua,100g,97,19,1.5,0,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Thịt ốc,100g,90,16,1.4,2,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Thịt bồ câu,100g,213,20,14,0,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Thịt lạc đà,100g,143,30,1.7,0,lunch|dinner|afternoon,low_calorie|high_protein|low_fat|low_carb
Cà rốt,100g,41,0.9,0.2,9.6,lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Cà chua,100g,18,0.9,0.2,3.9,lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Gà rán,100g,320,14,20,13,lunch|dinner,moderate_calorie|moderate_protein|high_fat|low_carb
Bánh mì kẹp thịt nướng,100g,250,13,9,30,breakfast|lunch|dinner|afternoon,low_calorie|moderate_protein|balanced
Bánh mì Doner Kebab,100g,215,9,10,22,breakfast|lunch|dinner|afternoon,low_calorie
Bánh mì sandwich thịt nguội,100g,237,12,9,28,breakfast|lunch|dinner|afternoon,low_calorie|moderate_protein
Bánh mì bánh mì xúc xích,100g,296,11,16,28,breakfast|lunch|dinner|afternoon,moderate_calorie|balanced
Gà viên chiên,100g,290,15,20,16,lunch|dinner|afternoon,moderate_calorie|moderate_protein|high_fat|low_carb
Mì xào,100g,138,4,5,21,lunch|dinner|afternoon,low_calorie|low_fat
Cao lầu,1 phần,350,15,10,55,lunch|dinner,moderate_calorie|moderate_protein|balanced
Bánh căn,1 phần,250,8,10,35,afternoon,low_calorie
Bánh bèo,1 phần,220,6,7,35,breakfast|afternoon,low_calorie|low_fat
Bánh nậm,1 phần,200,5,6,30,afternoon,low_calorie|low_fat
Bún hến,1 phần,400,15,10,65,lunch|dinner,moderate_calorie|moderate_protein|high_carb|high_fiber|balanced
Cơm hến,1 phần,350,18,8,55,lunch|dinner,moderate_calorie|moderate_protein|low_fat|balanced
Chả ram bắp,1 phần,300,10,15,35,lunch|dinner|afternoon,moderate_calorie|balanced
Bánh tráng cuốn thịt heo,1 phần,320,15,12,40,lunch|dinner,moderate_calorie|moderate_protein|balanced
Bánh đập,1 phần,200,5,5,35,afternoon,low_calorie|low_fat
Gỏi cá Nam Ô,1 phần,280,25,10,15,lunch|dinner|afternoon,moderate_calorie|high_protein|low_carb
Bún chả cá,1 phần,350,20,8,55,lunch|dinner,moderate_calorie|high_protein|low_fat|balanced
Bánh canh chả cá,1 phần,400,20,10,65,breakfast|lunch|dinner,moderate_calorie|high_protein|high_carb|balanced
Bún mắm nêm,1 phần,500,20,20,70,lunch|dinner,moderate_calorie|high_protein|high_fat|high_carb|high_fiber|balanced
Nem lụi,1 phần,300,20,15,25,afternoon,moderate_calorie|high_protein|balanced
Bánh hỏi thịt nướng,1 phần,450,25,20,60,lunch|dinner,moderate_calorie|high_protein|high_fat|high_carb|balanced
Cơm tấm sườn bì chả,1 phần,600,25,20,85,lunch|dinner,high_calorie|high_protein|high_fat|high_carb|high_fiber|balanced
Hủ tiếu Nam Vang,1 phần,550,25,18,70,breakfast|lunch|dinner,moderate_calorie|high_protein|high_carb|high_fiber|balanced
Gỏi cuốn,1 phần,200,10,5,30,lunch|dinner|afternoon,low_calorie|low_fat
Chả giò,1 phần,250,10,15,20,lunch|dinner|afternoon,low_calorie|low_carb|balanced
Lẩu mắm,1 phần,500,30,20,60,lunch|dinner,moderate_calorie|high_protein|high_fat|high_carb|high_fiber|balanced
Cá kho tộ,1 phần,350,40,15,10,lunch|dinner,moderate_calorie|high_protein|low_carb
Canh chua cá,1 phần,300,25,10,20,lunch|dinner|afternoon,moderate_calorie|high_protein|low_carb|high_fiber|balanced
Thịt kho tàu,1 phần,400,30,25,10,lunch|dinner,moderate_calorie|high_protein|high_fat|low_carb
Gà nướng muối ớt,1 phần,500,40,35,0,lunch|dinner,moderate_calorie|high_protein|high_fat|low_carb
Bánh tét,1 phần,350,10,10,60,afternoon|lunch,moderate_calorie|high_carb|balanced
Bánh tráng trộn,1 phần,400,10,20,45,lunch|dinner,moderate_calorie|high_fat|balanced
Bánh lọt,1 phần,250,5,5,50,afternoon,low_calorie|low_fat
Bún chả,1 phần,500,30,20,55,lunch|dinner,moderate_calorie|high_protein|high_fat|high_fiber|balanced
Bún thang,1 phần,420,25,15,60,lunch|dinner,moderate_calorie|high_protein|high_carb|balanced
Chả cá Lã Vọng,1 phần,520,30,35,20,lunch|dinner,moderate_calorie|high_protein|high_fat|low_carb
Nem rán (chả giò),1 phần,250,10,15,20,lunch|dinner|afternoon,low_calorie|low_carb|balanced
Xôi xéo,1 phần,400,10,15,65,breakfast,moderate_calorie|high_carb|balanced
Xôi gà,1 phần,450,15,18,65,breakfast,moderate_calorie|moderate_protein|high_carb|balanced
Bánh đa cua,1 phần,450,25,15,60,lunch|dinner,moderate_calorie|high_protein|high_carb|high_fiber|balanced
Cơm lam,1 phần,350,5,5,75,lunch|dinner,moderate_calorie|low_fat|high_carb
Bánh đúc,1 phần,220,4,8,35,breakfast|afternoon,low_calorie|low_fat
Bánh gai,1 phần,250,5,5,50,afternoon,low_calorie|low_fat
Bánh gio,1 phần,150,3,1,32,breakfast|afternoon,low_calorie|low_fat
Bánh khúc,1 phần,300,8,8,50,afternoon,moderate_calorie|low_fat
Bún mọc,1 phần,400,20,15,60,lunch|dinner,moderate_calorie|high_protein|high_carb|balanced
Thịt đông,1 phần,350,30,25,5,lunch|dinner,moderate_calorie|high_protein|high_fat|low_carb
Giò lụa,1 phần,250,16,20,1,afternoon,low_calorie|moderate_protein|high_fat|low_carb
Giò thủ,1 phần,300,20,25,2,afternoon,moderate_calorie|high_protein|high_fat|low_carb
Thịt nướng,1 phần,450,30,35,5,lunch|dinner,moderate_calorie|high_protein|high_fat|low_carb
Thịt luộc,1 phần,300,20,25,0,lunch|dinner|afternoon,moderate_calorie|high_protein|high_fat|low_carb
Cá kho,1 phần,350,40,15,10,lunch|dinner,moderate_calorie|high_protein|low_carb
Lẩu gà,1 phần,450,30,20,30,lunch|dinner,moderate_calorie|high_protein|high_fat|high_fiber|balanced
Lẩu riêu cua,1 phần,400,25,15,40,lunch|dinner,moderate_calorie|high_protein|high_fiber|balanced
Miến lươn,1 phần,350,20,10,50,lunch|dinner,moderate_calorie|high_protein|balanced
Cháo sườn,1 phần,250,10,5,40,breakfast|afternoon,low_calorie|low_fat|balanced
Cháo trai,1 phần,220,10,4,35,breakfast|afternoon,low_calorie|low_fat
Cháo gà,1 phần,200,12,4,30,breakfast|afternoon,low_calorie|moderate_protein|low_fat
Xôi ngô,1 phần,300,8,10,55,breakfast|afternoon,moderate_calorie
Bún nước lèo,1 phần,450,18,12,70,lunch|dinner,moderate_calorie|moderate_protein|high_carb|high_fiber|balanced
Bún cá,1 phần,400,20,10,65,lunch|dinner,moderate_calorie|high_protein|high_carb|balanced
Bánh tằm bì,1 phần,550,15,18,85,lunch|dinner,moderate_calorie|moderate_protein|high_carb|high_fiber|balanced
Cháo cá lóc,1 phần,350,20,8,50,breakfast|lunch|dinner,moderate_calorie|high_protein|low_fat|balanced
Cá lóc nướng trui,1 phần,300,30,15,10,lunch|dinner|afternoon,moderate_calorie|high_protein|low_carb
Lẩu cá kèo,1 phần,400,35,12,30,lunch|dinner,moderate_calorie|high_protein|high_fiber|balanced
Lẩu cua đồng,1 phần,450,30,15,40,lunch|dinner,moderate_calorie|high_protein|high_fiber|balanced
Bánh canh Trảng Bàng,1 phần,400,20,10,65,breakfast|lunch|dinner,moderate_calorie|high_protein|high_carb|balanced
Hủ tiếu Mỹ Tho,1 phần,550,25,18,70,breakfast|lunch|dinner,moderate_calorie|high_protein|high_carb|high_fiber|balanced
Hủ tiếu Sa Đéc,1 phần,500,25,15,65,breakfast|lunch|dinner,moderate_calorie|high_protein|high_carb|high_fiber|balanced
Nem nướng Cái Răng,1 phần,450,20,20,50,lunch|dinner,moderate_calorie|high_protein|high_fat|balanced
Bánh ít lá gai,1 phần,250,5,5,50,afternoon,low_calorie|low_fat
Bánh tét lá cẩm,1 phần,300,8,8,55,afternoon,moderate_calorie|low_fat
Thắng cố,1 phần,600,45,40,5,lunch|dinner,high_calorie|high_protein|high_fat|low_carb
Lợn cắp nách nướng,1 phần,500,40,35,5,lunch|dinner,moderate_calorie|high_protein|high_fat|low_carb
Xôi ngũ sắc,1 phần,350,8,10,70,breakfast,moderate_calorie|high_carb
Gà đồi nướng mắc khén,1 phần,450,40,25,0,lunch|dinner,moderate_calorie|high_protein|high_fat|low_carb
Pa pỉnh tộp (cá nướng),1 phần,350,40,15,5,lunch|dinner,moderate_calorie|high_protein|low_carb
Nậm pịa,1 phần,500,40,35,5,lunch|dinner,moderate_calorie|high_protein|high_fat|low_carb
Lạp xưởng gác bếp,1 phần,550,35,45,5,lunch|dinner,moderate_calorie|high_protein|high_fat|low_carb
Trâu gác bếp,1 phần,450,40,25,5,lunch|dinner,moderate_calorie|high_protein|high_fat|low_carb
Bê chao,1 phần,400,30,30,5,breakfast,moderate_calorie|high_protein|high_fat|low_carb
Rêu đá nướng,1 phần,150,5,5,20,afternoon,low_calorie|low_fat|low_carb|high_fiber
Măng chua nấu thịt,1 phần,250,20,10,15,afternoon,low_calorie|high_protein|low_carb
Canh bon,1 phần,200,10,5,20,lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Nộm hoa ban,1 phần,150,5,5,20,lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Bánh ngải,1 phần,250,5,8,40,afternoon,low_calorie|low_fat
Chẩm chéo,1 phần,100,2,5,10,afternoon,low_calorie|low_fat|low_carb
Thịt trâu nướng mắc khén,1 phần,400,35,25,5,lunch|dinner,moderate_calorie|high_protein|high_fat|low_carb
Thịt lợn muối chua,1 phần,300,25,20,5,lunch|dinner|afternoon,moderate_calorie|high_protein|high_fat|low_carb
Cá suối nướng,1 phần,350,40,15,5,lunch|dinner,moderate_calorie|high_protein|low_carb
Cháo ấu tẩu,1 phần,350,10,20,40,breakfast,moderate_calorie|high_fat|balanced
Phở chua Lạng Sơn,1 phần,400,15,15,60,breakfast|lunch|dinner,moderate_calorie|moderate_protein|high_carb|balanced
Khâu nhục,1 phần,600,30,45,10,lunch|dinner,high_calorie|high_protein|high_fat|low_carb
Lợn quay Lạng Sơn,1 phần,500,40,35,5,lunch|dinner,moderate_calorie|high_protein|high_fat|low_carb
Bánh cuốn Cao Bằng,1 phần,350,15,10,55,breakfast|afternoon,moderate_calorie|moderate_protein|balanced
Bánh khảo,1 phần,300,5,15,50,afternoon,moderate_calorie
Bánh coóng phù,1 phần,250,5,5,50,afternoon,low_calorie|low_fat
Bánh tẻ,1 phần,220,6,7,35,afternoon,low_calorie|low_fat
Vịt quay 7 vị,1 phần,500,40,35,5,lunch|dinner,moderate_calorie|high_protein|high_fat|low_carb
Xôi trám,1 phần,350,8,10,70,breakfast,moderate_calorie|high_carb
Thịt trâu gác bếp,1 phần,450,40,25,5,lunch|dinner,moderate_calorie|high_protein|high_fat|low_carb
Măng nhồi thịt,1 phần,300,25,10,15,afternoon,moderate_calorie|high_protein|low_carb
Canh gà lá giang,1 phần,250,20,10,15,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Canh cá nấu măng chua,1 phần,200,20,5,15,lunch|dinner|afternoon,low_calorie|high_protein|low_fat|low_carb
Bún ốc,1 phần,380,20,10,60,lunch|dinner,moderate_calorie|high_protein|high_carb|balanced
Miến ngan,1 phần,400,20,12,65,lunch|dinner,moderate_calorie|high_protein|high_carb|balanced
Nộm bò khô,1 phần,250,15,10,30,lunch|dinner|afternoon,low_calorie|moderate_protein|balanced
Thịt chua,1 phần,300,25,20,5,lunch|dinner|afternoon,moderate_calorie|high_protein|high_fat|low_carb
Nộm hoa chuối,1 phần,200,5,10,20,lunch|dinner|afternoon,low_calorie|low_carb
Cá nướng mắc khén,1 phần,350,40,15,5,lunch|dinner,moderate_calorie|high_protein|low_carb
Gà hấp lá chanh,1 phần,400,40,20,0,lunch|dinner,moderate_calorie|high_protein|high_fat|low_carb
Bánh trứng kiến,1 phần,300,10,10,55,breakfast|afternoon,moderate_calorie|balanced
Nộm rau muống,1 phần,150,5,5,20,lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Canh chua cá lóc,1 phần,300,25,10,20,lunch|dinner|afternoon,moderate_calorie|high_protein|low_carb|high_fiber|balanced
Cá nướng,1 phần,300,30,15,5,lunch|dinner|afternoon,moderate_calorie|high_protein|low_carb
Tôm rang muối,1 phần,250,30,10,5,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Tôm hấp,1 phần,200,40,2,0,lunch|dinner|afternoon,low_calorie|high_protein|low_fat|low_carb
Tôm nướng,1 phần,220,42,3,0,lunch|dinner|afternoon,low_calorie|high_protein|low_fat|low_carb
Mực nướng,1 phần,250,45,5,0,lunch|dinner|afternoon,low_calorie|high_protein|low_fat|low_carb
Mực xào chua ngọt,1 phần,280,25,10,15,lunch|dinner|afternoon,moderate_calorie|high_protein|low_carb
Mực chiên giòn,1 phần,300,20,15,20,lunch|dinner|afternoon,moderate_calorie|high_protein|low_carb|balanced
Lẩu mực,1 phần,350,30,10,30,lunch|dinner,moderate_calorie|high_protein|high_fiber|balanced
Súp cua,1 phần,250,25,8,20,lunch|dinner|afternoon,low_calorie|high_protein|low_fat|low_carb|balanced
Cua rang me,1 phần,350,35,15,10,lunch|dinner,moderate_calorie|high_protein|low_carb
Cua hấp,1 phần,200,40,2,0,lunch|dinner|afternoon,low_calorie|high_protein|low_fat|low_carb
Sò huyết xào tỏi,1 phần,280,25,10,10,lunch|dinner|afternoon,moderate_calorie|high_protein|low_carb
Nghêu hấp sả,1 phần,150,25,2,5,lunch|dinner|afternoon,low_calorie|high_protein|low_fat|low_carb
