food_name,serving,calories,protein_g,fat_g,carbs_g,meal_tags,diet_tags
Hàu nướng mỡ hành,1 phần,180,15,12,2,lunch|dinner|afternoon,low_calorie|moderate_protein|low_carb
Gỏi sứa,1 phần,200,20,5,15,lunch|dinner|afternoon,low_calorie|high_protein|low_fat|low_carb
Gỏi cá trích,1 phần,250,25,10,15,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Cháo hải sản,1 phần,300,20,5,50,breakfast|afternoon,moderate_calorie|high_protein|low_fat|balanced
Bún hải sản,1 phần,350,20,8,60,lunch|dinner,moderate_calorie|high_protein|low_fat|high_carb|balanced
Lẩu hải sản,1 phần,400,30,10,50,lunch|dinner,moderate_calorie|high_protein|high_fiber|balanced
Gỏi tôm,1 phần,200,20,5,15,lunch|dinner|afternoon,low_calorie|high_protein|low_fat|low_carb
Gỏi mực,1 phần,200,20,5,15,lunch|dinner|afternoon,low_calorie|high_protein|low_fat|low_carb
Cá thu kho,1 phần,350,35,15,10,lunch|dinner,moderate_calorie|high_protein|low_carb
Sò điệp nướng phô mai,1 phần,250,20,15,5,breakfast|lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Bánh canh ghẹ,1 phần,400,20,10,65,breakfast|lunch|dinner,moderate_calorie|high_protein|high_carb|balanced
Cháo tôm,1 phần,300,20,5,50,breakfast|afternoon,moderate_calorie|high_protein|low_fat|balanced
Cháo mực,1 phần,280,20,5,45,breakfast|afternoon,moderate_calorie|high_protein|low_fat|balanced
Bún cá ngừ,1 phần,350,20,8,60,lunch|dinner,moderate_calorie|high_protein|low_fat|high_carb|balanced
Cá bống kho tộ,1 phần,300,35,10,10,lunch|dinner|afternoon,moderate_calorie|high_protein|low_carb
Cơm chiên hải sản,1 phần,400,20,10,60,lunch|dinner,moderate_calorie|high_protein|high_carb|balanced
Bánh xèo hải sản,1 phần,350,12,18,40,lunch|dinner,moderate_calorie|moderate_protein|balanced
Cháo vịt,1 phần,250,15,6,30,breakfast|afternoon,low_calorie|moderate_protein|low_fat|balanced
Cháo hến,1 phần,220,10,5,35,breakfast|afternoon,low_calorie|low_fat
Cháo cá,1 phần,250,15,4,35,breakfast|afternoon,low_calorie|moderate_protein|low_fat|balanced
Cháo bò,1 phần,300,20,8,35,breakfast|afternoon,moderate_calorie|high_protein|low_fat|balanced
Cháo lươn,1 phần,320,18,10,35,breakfast,moderate_calorie|moderate_protein|balanced
Cháo ếch,1 phần,300,20,8,35,breakfast|afternoon,moderate_calorie|high_protein|low_fat|balanced
Cháo ngao,1 phần,230,12,5,35,breakfast|afternoon,low_calorie|moderate_protein|low_fat
Cháo gạo lứt,1 phần,250,8,4,40,breakfast|afternoon,low_calorie|low_fat
Cháo thịt bằm,1 phần,280,15,6,35,breakfast|lunch|dinner|afternoon,moderate_calorie|moderate_protein|low_fat|balanced
Cháo đậu xanh,1 phần,200,8,4,40,breakfast|afternoon,low_calorie|low_fat
Cháo bí đỏ,1 phần,180,5,3,35,breakfast|afternoon,low_calorie|low_fat
Cháo yến mạch,1 phần,220,8,5,40,breakfast|afternoon,low_calorie|low_fat
Cháo hành,1 phần,180,5,3,35,breakfast|afternoon,low_calorie|low_fat
Cháo thịt gà ác,1 phần,250,15,6,35,breakfast|lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|balanced
Cháo gà rau củ,1 phần,200,12,4,30,breakfast|lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat
Cháo dinh dưỡng trẻ em,1 phần,180,10,4,30,breakfast|afternoon,low_calorie|low_fat
Cháo thịt nạc bằm,1 phần,280,15,6,35,breakfast|lunch|dinner|afternoon,moderate_calorie|moderate_protein|low_fat|balanced
Cháo chim bồ câu,1 phần,300,20,8,35,breakfast|lunch|dinner|afternoon,moderate_calorie|high_protein|low_fat|balanced
Cháo vịt bắc thảo,1 phần,280,15,8,35,breakfast|lunch|dinner|afternoon,moderate_calorie|moderate_protein|low_fat|balanced
Cháo cua,1 phần,300,20,5,50,breakfast|afternoon,moderate_calorie|high_protein|low_fat|balanced
Cháo sườn non,1 phần,300,20,8,35,breakfast|afternoon,moderate_calorie|high_protein|low_fat|balanced
Cháo bắp,1 phần,220,8,4,40,breakfast|afternoon,low_calorie|low_fat
Cháo đậu đen,1 phần,200,8,4,40,breakfast|afternoon,low_calorie|low_fat
Cháo trắng,1 phần,180,4,2,35,breakfast|afternoon,low_calorie|low_fat
Cháo trứng,1 phần,250,10,6,35,breakfast|afternoon,low_calorie|low_fat|balanced
Cháo thịt viên,1 phần,280,15,8,35,breakfast|lunch|dinner|afternoon,moderate_calorie|moderate_protein|low_fat|balanced
Súp gà,1 Chén,180,15,6,15,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Súp tôm,1 Chén,170,15,4,15,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Súp măng tây,1 Chén,160,12,5,15,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Súp ngô (bắp),1 Chén,180,8,6,20,lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Súp lươn,1 Chén,200,15,8,15,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Súp bò viên,1 Chén,200,15,10,10,lunch|dinner|afternoon,low_calorie|moderate_protein|low_carb
Súp cá,1 Chén,160,15,4,10,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Súp rau củ,1 Chén,100,5,2,15,lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Súp nấm,1 Chén,120,8,3,10,lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Súp cua biển,1 Chén,150,10,5,15,lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Súp hải sản,1 Chén,180,15,6,15,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Súp bí đỏ,1 Chén,140,4,5,20,lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Súp bào ngư,1 Chén,200,15,6,15,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Súp đậu xanh,1 Chén,150,6,4,20,lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Súp khoai tây,1 Chén,180,5,6,25,lunch|dinner|afternoon,low_calorie|low_fat
Súp chay,1 Chén,120,6,3,15,lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Súp cà chua,1 Chén,110,5,2,15,lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Súp cải bó xôi,1 Chén,130,7,4,15,breakfast|lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Súp đậu Hà Lan,1 Chén,140,6,4,20,lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Súp tôm cua,1 Chén,170,15,5,15,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Súp bí đỏ hải sản,1 Chén,180,12,6,20,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Súp gà ngô,1 Chén,170,12,5,20,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Súp gà nấm hương,1 Chén,160,12,4,15,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Súp nấm chay,1 Chén,130,6,3,15,lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Súp tôm chua cay,1 Chén,150,15,4,10,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Súp hoành thánh,1 Chén,180,10,6,20,lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Súp gà rau củ,1 Chén,160,12,4,15,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Súp hạt sen,1 Chén,140,6,4,20,lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Súp thập cẩm,1 Chén,180,15,6,15,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Gỏi bò,1 phần nhỏ,300,25,15,10,lunch|dinner|afternoon,moderate_calorie|high_protein|low_carb
Gỏi gà,1 phần nhỏ,250,20,10,15,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Gỏi ngó sen tôm thịt,1 phần nhỏ,220,15,8,20,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Gỏi hoa chuối,1 phần nhỏ,200,10,5,20,lunch|dinner|afternoon,low_calorie|low_fat|low_carb|high_fiber
Gỏi đu đủ,1 phần nhỏ,180,5,3,25,lunch|dinner|afternoon,low_calorie|low_fat
Gỏi bưởi tôm thịt,1 phần nhỏ,200,10,5,20,lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Gỏi xoài,1 phần nhỏ,180,5,3,25,lunch|dinner|afternoon,low_calorie|low_fat
Gỏi hải sản,1 phần nhỏ,250,20,10,15,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Gỏi gà xé phay,1 phần nhỏ,200,15,5,15,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Gỏi bò khô,1 phần nhỏ,250,15,10,20,lunch|dinner|afternoon,low_calorie|moderate_protein|low_carb|balanced
Gỏi tai heo,1 phần nhỏ,300,20,15,10,lunch|dinner|afternoon,moderate_calorie|high_protein|low_carb
Gỏi tôm xoài xanh,1 phần nhỏ,220,15,8,20,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Gỏi vịt,1 phần nhỏ,250,20,10,15,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Gỏi cuốn thịt nướng,1 phần nhỏ,250,15,10,20,lunch|dinner|afternoon,low_calorie|moderate_protein|low_carb|balanced
Gỏi chân gà rút xương,1 phần nhỏ,250,15,10,20,lunch|dinner|afternoon,low_calorie|moderate_protein|low_carb|balanced
Gỏi rau muống,1 phần nhỏ,150,5,5,20,lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Gỏi tai heo tôm thịt,1 phần nhỏ,300,20,15,10,lunch|dinner|afternoon,moderate_calorie|high_protein|low_carb
Gỏi bắp chuối tôm thịt,1 phần nhỏ,200,10,5,20,lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Gỏi bắp cải tím tôm thịt,1 phần nhỏ,180,10,5,20,lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Gỏi bạch tuộc,1 phần nhỏ,200,20,5,15,lunch|dinner|afternoon,low_calorie|high_protein|low_fat|low_carb
Gỏi bò tái chanh,1 phần nhỏ,250,20,10,15,lunch|dinner|afternoon,low_calorie|high_protein|low_carb
Gỏi đu đủ tôm thịt,1 phần nhỏ,180,10,5,20,lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Gỏi măng cụt tôm thịt,1 phần nhỏ,220,15,8,20,lunch|dinner|afternoon,low_calorie|moderate_protein|low_fat|low_carb
Gỏi cuốn lụa,1 phần nhỏ,200,10,5,30,lunch|dinner|afternoon,low_calorie|low_fat
Trứng gà,1 Quả,70,6,5,0.6,breakfast|afternoon,low_calorie|low_fat|low_carb
Trứng vịt,1 Quả,90,7,7,1,breakfast|afternoon,low_calorie|low_fat|low_carb
Trứng bắc thảo,1 Quả,90,7,6,1,breakfast|afternoon,low_calorie|low_fat|low_carb
Trứng ngỗng,1 Quả,267,19,20,1.2,breakfast|afternoon,moderate_calorie|moderate_protein|high_fat|low_carb
Trứng đà điểu,1 Quả,200,15,15,1,breakfast|afternoon,low_calorie|moderate_protein|low_carb
